met.x	met.y	rxn
C00068	C21017	R10996
C00068	C21017	R10997
C00071	C00226	R00623
C00071	C00226	R00625
C00071	C00162	R00631
C00071	C00375	R01853
C00072	C01040	R10053
C00073	C01180	R00648
C00073	C00155	R00650
C00073	C00155	R00946
C00073	C00155	R02821
C00073	C02430	R03659
C00073	C01180	R07396
C00073	C15999	R07606
C00073	C00155	R11063
C00073	C03172	R11063
C00074	C00631	R00658
C00077	C01165	R00667
C00077	C04322	R00668
C00077	C00437	R00669
C00077	C00134	R00670
C00077	C01165	R01343
C00077	C00327	R01398
C00078	C00331	R00677
C00078	C02700	R00678
C00078	C00398	R00685
C00078	C00643	R01814
C00078	C03512	R03664
C00078	C00643	R07213
C00079	C00166	R00689
C00079	C00166	R00694
C00079	C02455	R00699
C00079	C00166	R01375
C00079	C00082	R01795
C00079	C03511	R03660
C00079	C00082	R07211
C00079	C02135	R09535
C00082	C00355	R00031
C00082	C01179	R00729
C00082	C00355	R00731
C00082	C01179	R00734
C00082	C00483	R00736
C00082	C00355	R01815
C00082	C00355	R02078
C00082	C02839	R02918
C00082	C02515	R03539
C00082	C01392	R04730
C00082	C00355	R07212
C00082	C01060	R10059
C00083	C00288	R00742
C00083	C01209	R01626
C00083	C00264	R09419
C00083	C20877	R10825
C00084	C00469	R00746
C00084	C00346	R00748
C00084	C00188	R00751
C00084	C00469	R00754
C00084	C00673	R01066
C00084	C05519	R06171
C00084	C04895	R09959
C00085	C00354	R00756
C00085	C00095	R00760
C00085	C00354	R00762
C00085	C00665	R00763
C00085	C00352	R00765
C00085	C00354	R00767
C00085	C00352	R00768
C00085	C00354	R00769
C00085	C00354	R00770
C00085	C00092	R00771
C00085	C00275	R00772
C00085	C00095	R00876
C00085	C00279	R01067
C00085	C00095	R01140
C00085	C00118	R08575
C00086	C00179	R01157
C00086	C00499	R02422
C00087	C00094	R00781
C00089	C00095	R00801
C00089	C00095	R00802
C00089	C00492	R01103
C00090	C02351	R00058
C00090	C04221	R00814
C00090	C01502	R00827
C00091	C01213	R00833
C00092	C01236	R00835
C00092	C04006	R07324
C00092	C00103	R08639
C00092	C01236	R10520
C00093	C00111	R00842
C00093	C00116	R00847
C00093	C00111	R00848
C00093	C00111	R00849
C00093	C00681	R00851
C00093	C00513	R00855
C00093	C00670	R01030
C00093	C01225	R01193
C00093	C01233	R01470
C00093	C03892	R01801
C00093	C00681	R02617
C00093	C00111	R08657
C00093	C00681	R09380
C00095	C01094	R00866
C00095	C00794	R00875
C00096	C00636	R00885
C00096	C01222	R00888
C00097	C00606	R00893
C00097	C00669	R00894
C00097	C00957	R00895
C00097	C00957	R00896
C00097	C01419	R00899
C00097	C05526	R00900
C00097	C02291	R01001
C00097	C00669	R02743
C00097	C03125	R03650
C00097	C04352	R04230
C00097	C04352	R04231
C00097	C06751	R07360
C00097	C19691	R09562
C00099	C05665	R00904
C00099	C02642	R00905
C00099	C00222	R00908
C00099	C05341	R00910
C00099	C05340	R00912
C00099	C00386	R01164
C00099	C00386	R01166
C00099	C01262	R03286
C00099	C01262	R03288
C00100	C00683	R00923
C00100	C00894	R00924
C00100	C00163	R00925
C00100	C03344	R00927
C00100	C06002	R00935
C00100	C00683	R01859
C00100	C05467	R03719
C00100	C00894	R04432
C00100	C05449	R04811
C00100	C07297	R05330
C00100	C02557	R05373
C00100	C21018	R10998
C00101	C00415	R00936
C00101	C00504	R00937
C00101	C00415	R00939
C00101	C00504	R00940
C00101	C00234	R00941
C00101	C09332	R00942
C00101	C00234	R00943
C00101	C00143	R00945
C00101	C00440	R00946
C00101	C00143	R01221
C00101	C00664	R02287
C00101	C03479	R03189
C00101	C00234	R03940
C00101	C00143	R04125
C00101	C03541	R04242
C00101	C00234	R04325
C00101	C00445	R04326
C00101	C00234	R04560
C00103	C01231	R01660
C00103	C00394	R09752
C00106	C00429	R00978
C00106	C00299	R01876
C00106	C00526	R02484
C00108	C00328	R00987
C00108	C05653	R00988
C00109	C00188	R00996
C00109	C05984	R01000
C00109	C02291	R01001
C00109	C05335	R04770
C00109	C05699	R04930
C00109	C02356	R10991
C00109	C02356	R10992
C00109	C21017	R10996
C00110	C00621	R01004
C00110	C01246	R01005
C00110	C04500	R01007
C00110	C03862	R01009
C00110	C00381	R01018
C00110	C03862	R04072
C00111	C00184	R01010
C00111	C00184	R01011
C00111	C03372	R01013
C00111	C00118	R01015
C00111	C00354	R01068
C00111	C00354	R01070
C00111	C00447	R01829
C00111	C01094	R02568
C00114	C00588	R01021
C00114	C01996	R01023
C00114	C00576	R01025
C00114	C01996	R01026
C00114	C01777	R01029
C00114	C00670	R01030
C00114	C00157	R01310
C00114	C00588	R06871
C00114	C00576	R08557
C00114	C00576	R08558
C00116	C00577	R01036
C00116	C00577	R01041
C00116	C05401	R01104
C00116	C00422	R01350
C00116	C01885	R01351
C00116	C02112	R01352
C00116	C01225	R03331
C00116	C01885	R07293
C00117	C00119	R01049
C00117	C00121	R01051
C00117	C00301	R01054
C00117	C00199	R01056
C00117	C05382	R01641
C00117	C05382	R06590
C00117	C05382	R06863
C00118	C00236	R01061
C00118	C00673	R01066
C00118	C00231	R01067
C00118	C00354	R01068
C00118	C00354	R01070
C00118	C00231	R01641
C00118	C00231	R01830
C00118	C00231	R06861
C00119	C03090	R01072
C00120	C01893	R01076
C00120	C05552	R01077
C00120	C04681	R04562
C00120	C04682	R04563
C00120	C04727	R04582
C00120	C04801	R04604
C00122	C00149	R01082
C00122	C03794	R01083
C00122	C02514	R01085
C00122	C03406	R01086
C00122	C01061	R01364
C00122	C04823	R04559
C00123	C00233	R01090
C00123	C02047	R03657
C00124	C01697	R01093
C00124	C01697	R01095
C00124	C00243	R01100
C00124	C05402	R01101
C00124	C00492	R01103
C00124	C05401	R01104
C00124	C05796	R01105
C00124	C01235	R01194
C00124	C05400	R01329
C00124	C00243	R01678
C00124	C05399	R02926
C00124	C01290	R03355
C00124	C02686	R03617
C00124	C04737	R03618
C00124	C01613	R03634
C00124	C06126	R04019
C00124	C06037	R04470
C00124	C04911	R04633
C00124	C06136	R05112
C00124	C05404	R05549
C00125	C00126	R00081
C00128	C03691	R01115
C00128	C00270	R01117
C00129	C01143	R01121
C00129	C00235	R01123
C00129	C00341	R01658
C00129	C00448	R02003
C00129	C00353	R02061
C00129	C05859	R05556
C00129	C17432	R09249
C00134	C00555	R01151
C00134	C02714	R01154
C00134	C00179	R01157
C00134	C00315	R01920
C00134	C00612	R09074
C00135	C00386	R01164
C00135	C00386	R01166
C00135	C00388	R01167
C00135	C00785	R01168
C00135	C00884	R01991
C00135	C00884	R01992
C00135	C02988	R03655
C00136	C00877	R01175
C00136	C00246	R01176
C00136	C18026	R08924
C00136	C18026	R09958
