rxn	gene
R03088	13094
R03088	13099
R03088	226143
R03088	13086
R07080	72082
R07080	53973
R07080	404195
R07080	71754
R07080	69888
R07080	320997
R07080	56448
R07080	545123
R07080	106648
R07080	208285
R07080	100066
R07080	13088
R07080	72303
R07080	13110
R07080	665095
R07080	70101
R07080	631304
R07080	380997
R07080	13109
R07080	76279
R07080	13105
R07080	100041375
R07080	13090
R07080	13087
R07080	337924
R07080	13076
R07080	56388
R07080	74134
R07080	433247
R07080	13098
R07080	243881
R07080	13107
R07080	13078
R07080	13085
R07080	13112
R07080	107141
R07080	13096
R07080	13120
R07080	226105
R07080	13114
R07080	242546
R07080	13101
R07080	13077
R07080	223706
R07080	81906
R07080	230459
R07080	13097
R07080	74519
R07080	13095
R07080	13113
R07080	13089
R07080	13094
R07080	13099
R07080	226143
R07080	13086
R07021	72082
R07021	53973
R07021	404195
R07021	71754
R07021	69888
R07021	320997
R07021	56448
R07021	545123
R07021	106648
R07021	208285
R07021	100066
R07021	13088
R07021	72303
R07021	13110
R07021	665095
R07021	70101
R07021	631304
R07021	380997
R07021	13109
R07021	76279
R07021	13105
R07021	100041375
R07021	13090
R07021	13087
R07021	337924
R07021	13076
R07021	56388
R07021	74134
R07021	433247
R07021	13098
R07021	243881
R07021	13107
R07021	13078
R07021	13085
R07021	13112
R07021	107141
R07021	13096
R07021	13120
R07021	226105
R07021	13114
R07021	242546
R07021	13101
R07021	13077
R07021	223706
R07021	81906
R07021	230459
R07021	13097
R07021	74519
R07021	13095
R07021	13113
R07021	13089
R07021	13094
R07021	13099
R07021	226143
R07021	13086
R01842	72082
R01842	53973
R01842	404195
R01842	71754
R01842	69888
R01842	320997
R01842	56448
R01842	545123
R01842	106648
R01842	208285
R01842	100066
R01842	13088
R01842	72303
R01842	13110
R01842	665095
R01842	70101
R01842	631304
R01842	380997
R01842	13109
R01842	76279
R01842	13105
R01842	100041375
R01842	13090
R01842	13087
R01842	337924
R01842	13076
R01842	56388
R01842	74134
R01842	433247
R01842	13098
R01842	243881
R01842	13107
R01842	13078
R01842	13085
R01842	13112
R01842	107141
R01842	13096
R01842	13120
R01842	226105
R01842	13114
R01842	242546
R01842	13101
R01842	13077
R01842	223706
R01842	81906
R01842	230459
R01842	13097
R01842	74519
R01842	13095
R01842	13113
R01842	13089
R01842	13094
R01842	13099
R01842	226143
R01842	13086
R04121	72082
R04121	53973
R04121	404195
R04121	71754
R04121	69888
R04121	320997
R04121	56448
R04121	545123
R04121	106648
R04121	208285
R04121	100066
R04121	13088
R04121	72303
R04121	13110
R04121	665095
R04121	70101
R04121	631304
R04121	380997
R04121	13109
R04121	76279
R04121	13105
R04121	100041375
R04121	13090
R04121	13087
R04121	337924
R04121	13076
R04121	56388
R04121	74134
R04121	433247
R04121	13098
R04121	243881
R04121	13107
R04121	13078
R04121	13085
R04121	13112
R04121	107141
R04121	13096
R04121	13120
R04121	226105
R04121	13114
R04121	242546
R04121	13101
R04121	13077
R04121	223706
R04121	81906
R04121	230459
R04121	13097
