ID	symbol	pval	padj	log2FC	baseMean	logPval
109785	Pgm3	0.0921543551028929	0.470939749887999	1.85314151203381	32.7550130803854	-3.43980384229228
445007	Nup85	0.0923126448162559	0.471555244676397	-1.43296692497551	58.3589559690652	-3.43732791065526
21813	Tgfbr2	0.0924813769894724	0.47192353336888	-1.0399779048637	135.470361236178	-3.43469331095545
245841	Polr2h	0.0924981745306375	0.47192353336888	-0.857830501317922	190.907381526871	-3.43443129573046
20657	Sod3	0.0925453227003933	0.47192353336888	Inf	2.98603882466019	-3.43369611256344
13178	Dck	0.0925658944462976	0.47192353336888	0.707862461144198	1892.68546394284	-3.43337545391965
272359	Irf2bp1	0.0925847852830674	0.47192353336888	-1.57585720598029	39.2061380638443	-3.43308105892568
66054	Cndp2	0.0926120105214633	0.47192353336888	0.981107967969892	805.644930447295	-3.43265688617979
242466	Zfp462	0.0928875577281578	0.473134129899885	2.30937749272056	26.8309082873955	-3.42837082896935
216848	Chd3	0.0930042932138945	0.473368698244523	-0.798349368862191	1121.19272198513	-3.42655887510851
232087	Mat2a	0.0930199830245487	0.473368698244523	-0.809387489423661	377.02138567174	-3.42631551319323
192236	Hps1	0.093047591460056	0.473368698244523	-1.79749258528858	20.0639282631268	-3.42588738321523
55942	Sertad1	0.0932528404825731	0.474219240641787	0.888115367847291	271.169353135293	-3.42270851923034
76295	Atp11b	0.093365139609671	0.474596603181106	1.66598608105822	342.659121217541	-3.4209722083643
217869	Eif5	0.0934828991912129	0.474724705710335	0.795070702389244	2040.04599416801	-3.41915371256534
51875	Tmem141	0.0935067007352149	0.474724705710335	-1.26462594117544	47.825812821332	-3.41878643684845
223827	Gxylt1	0.0935115006937226	0.474724705710335	1.06724288060323	545.225802285051	-3.41871238120804
67255	Zfp422	0.0935427524294784	0.474724705710335	-1.11664415836264	112.291897737295	-3.41823031010984
14548	Mrps33	0.0935971023107522	0.474807124466475	-0.877458713496512	331.786439722887	-3.41739232392565
620078	C130026I21Rik	0.093747206463658	0.47537502862463	1.79735294775221	74.6731908153504	-3.41508048894363
330260	Pon2	0.0938683181158894	0.475795514811174	-0.943815768545584	154.50420215054	-3.41321787970882
11637	Ak2	0.0940097417410343	0.476318573546786	1.49153551489059	2650.89567591935	-3.41104592624759
241289	Ppp1r26	0.0942025755728727	0.47687128018795	Inf	3.79930956709652	-3.40808968497473
231874	Ccz1	0.0942072264893176	0.47687128018795	1.08251909410897	292.664952066444	-3.40801845880689
110796	Tshz1	0.0942336537300533	0.47687128018795	0.981780125218258	475.550831384247	-3.40761380723278
67014	Mina	0.0942854416140702	0.476939633402233	0.973943668126433	112.55460029226	-3.40682116471355
494468	Armcx5	0.0943339355362069	0.47699127550552	1.84062716867072	63.0776181686893	-3.40607933273872
15109	Hal	0.0945405457257989	0.477842052412872	-Inf	3.51338406628011	-3.40292299724199
18117	Emc8	0.0946353205078226	0.477873861869084	-0.939817364909554	127.873674296644	-3.40147745218185
68842	Tulp4	0.0946377652807519	0.477873861869084	0.987059748582377	390.696598270285	-3.40144018262747
12545	Cdc7	0.0946619063402279	0.477873861869084	-1.61081362078541	25.8599331430542	-3.40107221382247
20650	Sntb2	0.0947374763890289	0.477915730758348	2.24972352760482	82.4760447160953	-3.39992094776385
19326	Rab11b	0.0947469182898403	0.477915730758348	-0.903333565003398	202.335142880953	-3.39977717039884
59014	Rrs1	0.0949024011614259	0.478072917870819	-0.939647373019666	228.799146984005	-3.39741159989549
50798	Gne	0.0949355926321228	0.478072917870819	-2.89055585350369	3.99814170226669	-3.3969071153115
81018	Rnf114	0.0949608127170674	0.478072917870819	1.31312656093254	137.129975808995	-3.39652390751326
20750	Spp1	0.0949659033498572	0.478072917870819	-0.976844471504515	62025.2434933748	-3.3964465699924
93691	Klf7	0.0949699391387975	0.478072917870819	-0.895050674100491	384.107530965456	-3.39638526073539
76366	Mtif3	0.0950829491678925	0.47844849098658	1.4019409346435	70.2033541560046	-3.39466953803089
19655	Rbmx	0.0952363950591767	0.478670630381679	-0.93359734856468	87.9229802540057	-3.39234317782544
16562	Kif1c	0.0952389714944	0.478670630381679	1.1456687427683	700.976980150666	-3.39230414904826
67675	Cuta	0.0952423543395282	0.478670630381679	-1.18270534190439	80.617016470618	-3.39225290608394
245847	Amdhd2	0.0953951373891683	0.479245168036955	-1.29287894509202	58.2283284961921	-3.38994046068571
237775	Zfp867	0.0955091793005049	0.479564231184893	-3.34300766448728	4.2413348582009	-3.38821679385237
74325	Cltb	0.0955356306124813	0.479564231184893	-1.46022502060124	116.311458808215	-3.38781729410281
223697	Sun2	0.0956324847617457	0.479857079197177	-1.25496516513541	64.5592377211588	-3.38635542884861
53599	Cd164	0.0958330185910507	0.480407979223109	1.05175726559802	162.250652656493	-3.38333337775543
67087	Ctnnbip1	0.0958364672403483	0.480407979223109	-0.887356941670069	269.034682365911	-3.38328146183132
56233	Hdac7	0.0958812186552684	0.480407979223109	0.987436833744726	201.88892409284	-3.38260794394226
68366	Tmem129	0.0958965121059372	0.480407979223109	-1.54011153840267	37.995610793411	-3.38237784647059
14544	Gda	0.0960319177431472	0.48089295143162	1.32599505671473	382.830513328081	-3.38034220147652
56517	Slc22a21	0.0960895611643324	0.480964395391751	-1.89240081950363	16.9216262795603	-3.37947647963373
100072	Camta1	0.0961233922887439	0.480964395391751	-1.07397471314919	110.199481703143	-3.37896862628625
233147	Zfp939	0.0964049243448488	0.482179426901835	-Inf	2.24108010996554	-3.37474934885428
240613	9930021J03Rik	0.0965024186583124	0.48247336840446	0.914517991044313	487.647412482094	-3.37329108840307
77929	Yipf6	0.0965624732712965	0.48257996569879	1.35906793777245	180.531728211467	-3.37239356121143
108911	Rcc2	0.0967385943879537	0.483085061232186	-0.869466125564175	467.989161943819	-3.36976461420163
319845	Bbs9	0.0967908884117546	0.483085061232186	-Inf	7.81827841097488	-3.36898494663315
13486	Dr1	0.0968129266743645	0.483085061232186	0.741905859711281	699.266368977177	-3.36865649760645
18746	Pkm	0.0968186369609734	0.483085061232186	0.832820338798944	1243.64436660378	-3.36857140608501
14528	Gch1	0.0968960970046865	0.483098776317467	0.942460808434537	131.762759560476	-3.36741763502588
77805	Esco1	0.096898935871045	0.483098776317467	1.10363447379073	131.391790904584	-3.36737536749862
11881	Arsb	0.097155843934314	0.484153225799133	-1.0145545594154	160.581129389966	-3.36355541309446
21804	Tgfb1i1	0.0971881545648632	0.484153225799133	-1.75376164659873	23.2200396568614	-3.36307570302108
67296	Socs4	0.0973720044564431	0.484827559233281	1.08321827363996	200.898087843025	-3.36034914885776
213402	Armc2	0.0974104895403813	0.484827559233281	-Inf	3.58443974102345	-3.35977905408868
66353	Riiad1	0.097440260720775	0.484827559233281	-Inf	5.85250436131609	-3.35933819630813
66972	Slc25a23	0.0977589916262677	0.48603666661762	-Inf	3.07021937818933	-3.35462678578917
223593	E430025E21Rik	0.0977720169403059	0.48603666661762	-1.14742336609014	60.8375423730355	-3.35443457529392
